#  HZ   S   RI   R     50.00 
! Rohde & Schwarz Vector Network Analyzer 
! Rohde-Schwarz,ZNLE18-2Port,1323001270101281,1.61.1.0-22.05.1.79
! Created: UTC 6/27/2023, 12:01:30 PM
! freq[Hz]                re:S11                  im:S11                  re:S21                  im:S21                  re:S12                  im:S12                  re:S22                  im:S22
 6.212121212121212E9     6.030528509035283E-1   -5.064624040292226E-1    1.508911015822034E-5   -1.129964825765712E-5    1.991832774655955E-5    8.249805467526182E-6    9.550071590693106E-1   -3.185610088348907E-1
 6.333333333333334E9     2.185642929502292E-1   -7.310281053663469E-1   -2.380158546819001E-5   -8.187940607908347E-5    2.293094831544624E-5   -1.888194515434700E-5    9.619765048620817E-1   -3.117035795951012E-1
 6.454545454545455E9    -2.560974344727994E-1   -6.377293302634901E-1   -6.328573693236955E-5    1.285883656466630E-5   -4.858952815246406E-5    1.193996096679234E-5    9.489998896726952E-1   -3.379572398359877E-1
 6.575757575757576E9    -4.998365158488179E-1   -1.382899673944177E-1   -7.882215148785995E-5    3.138133740273206E-5   -6.525340428117614E-5    4.117524891985690E-5    9.550109560542969E-1   -3.321323545102582E-1
 6.696969696969697E9    -1.042465734780662E-1    2.372873657778914E-1    6.674383213221476E-5    6.711903842323838E-5    9.626849162031823E-5    7.394091657191868E-5    9.525290285560875E-1   -3.440173400173991E-1
 6.818181818181818E9     2.104045214083009E-1    4.101419932030209E-2    6.314254982384861E-5    2.330523483280880E-5    7.371544413316997E-5    2.251128465644033E-6    9.419960932814798E-1   -3.558292404032644E-1
 6.939393939393940E9     3.634960858786292E-2   -1.816353965372092E-1    3.464032295116881E-5   -2.140933957678978E-5    4.911152376892906E-5   -1.115619418969466E-5    9.518218584522934E-1   -3.602143283285734E-1
 7.060606060606061E9     3.763146082285735E-2    1.111104856752436E-1   -1.314648548034639E-5   -1.112297446098014E-4    9.034231842096499E-5    7.455501703195603E-5    9.346080492446019E-1   -3.729071218541475E-1
 7.181818181818182E9     4.486883048754136E-1   -5.934017648950329E-2   -8.350819276142343E-5    3.635528124855163E-5    1.544460664318549E-5   -1.158191456141191E-4    9.391018008904607E-1   -3.777954676110350E-1
 7.303030303030303E9     3.512300734753829E-1   -5.204607946952012E-1    5.407328055707610E-5    4.263688696319306E-5   -4.413453912072396E-5    1.263051563526781E-5    9.348071854111841E-1   -3.866535777826157E-1
 7.424242424242425E9    -1.836721962990704E-2   -6.931953428374106E-1    2.471571557297898E-6   -1.304781671825370E-5    4.903620347671686E-5    2.024504879142198E-5    9.256946397069418E-1   -3.922092136193083E-1
 7.545454545454546E9    -4.191397307063961E-1   -5.623152247949603E-1    5.743021677747844E-5    2.551532721530863E-5   -2.193844954854160E-5    1.822255794669449E-5    9.302196403407851E-1   -4.028925665710139E-1
 7.666666666666667E9    -5.809524725793916E-1   -1.533409332647699E-1    4.226727080141967E-5   -2.889170430572606E-5    7.640319287665783E-6    5.293631209877188E-5    9.184539845360247E-1   -4.077434001893305E-1
 7.787878787878788E9    -2.232629184668715E-1    1.429867161195573E-1   -1.800673108384913E-5   -4.878844379899278E-5    1.599346954496703E-5    7.192986371788852E-6    9.177743090910936E-1   -4.171487020390909E-1
 7.909090909090909E9    -1.539312028095567E-1   -2.354727168088162E-1   -9.495587727157310E-5    2.293047237440999E-5    3.779903007472062E-5   -4.398658244274262E-5    9.137839752422431E-1   -4.244330291099532E-1
 8.030303030303031E9    -4.821953052919835E-1   -2.390092307184438E-2    6.253611430054830E-5    6.838475212639414E-5    3.350148837094616E-5    4.537445127646381E-5    9.063452374005999E-1   -4.309457129657952E-1
 8.151515151515152E9    -2.145222980938156E-1    3.280934759842807E-1    1.014451767475114E-4   -4.144034383535675E-5    2.277582455442739E-5   -4.336567433336458E-5    9.061994946093641E-1   -4.415718434320193E-1
 8.272727272727273E9     1.656224684855103E-1    4.762099026719640E-2    3.258255429957237E-5   -6.816474574770741E-5   -2.349532346326962E-5   -2.008846385831834E-5    8.987313492288787E-1   -4.465828297432307E-1
 8.393939393939394E9    -7.647158262429619E-2   -1.338390887789017E-1    5.944038782619669E-6   -8.381923190630832E-5    6.012107726848004E-6    5.960620416157116E-5    8.952853183751108E-1   -4.557994633079705E-1
 8.515151515151516E9     1.181236026472585E-4   -2.318841768473586E-1   -1.251239606658250E-4   -1.956806100722805E-6    8.112852389681836E-5   -6.617173306085655E-5    8.907330459312858E-1   -4.643078823664178E-1
 8.636363636363636E9    -3.333101090286568E-1   -3.938743923709531E-1    5.753389234028872E-5    6.520833692711231E-5   -7.099888486862758E-5   -1.591092410326091E-5    8.853334831405760E-1   -4.703181111462799E-1
 8.757575757575758E9    -6.312358143673856E-1   -1.593948638732467E-1    2.391411145445462E-5   -2.792273631309264E-5    6.264823459722747E-5    6.107306509453266E-5    8.824744560017694E-1   -4.807437397086353E-1
 8.878787878787880E9    -6.749647162580951E-1    1.884779396085914E-1   -2.709751815827212E-5    2.292076226848528E-5    2.343635657822268E-5   -4.408339080708737E-5    8.764754193178746E-1   -4.874330238896460E-1
 9.000000000000000E9    -5.031087510134521E-1    4.737750453412968E-1    5.998349136526676E-5   -7.372943933921765E-6   -5.406854558100310E-5    6.184458063034972E-5    8.713946773516061E-1   -4.974487257140446E-1
 9.121212121212122E9    -1.912522613592954E-1    5.792742622940933E-1    4.092681470376034E-7   -1.945233673692136E-5    7.142196554328295E-5    9.146087850944447E-5    8.663091938951339E-1   -5.055920791204709E-1
 9.242424242424244E9     5.938035151608012E-2    4.249866992547597E-1    3.273742915397377E-5    5.954109138014125E-5    1.200691739382960E-4    5.069784927675762E-5    8.610733543174759E-1   -5.127688231480203E-1
 9.363636363636364E9     1.058425641724974E-1    2.673554530793596E-1    4.373078646574898E-5    1.529088769874886E-5    1.234855700354506E-4   -9.460961501538343E-5    8.567341766946323E-1   -5.222460719875945E-1
 9.484848484848484E9     1.201130056187397E-1    2.701544729178453E-2    9.483425666844722E-5   -6.329480864049442E-5    1.778471712368311E-5   -1.703320854091803E-4    8.509894354823728E-1   -5.304512146140323E-1
 9.606060606060606E9    -2.206094265793596E-1   -8.498246442463601E-2    1.729536482569711E-5   -2.026793975308890E-4   -1.062050926269624E-4   -1.528073902095704E-4    8.462626083107357E-1   -5.386392074845494E-1
 9.727272727272728E9    -4.096360474712209E-1    2.159660932179937E-1   -1.061480617837997E-4   -2.650541286158992E-5   -1.451583989234155E-4   -1.884396547120963E-6    8.398005882641132E-1   -5.484100700976113E-1
